84623395,Qualcomm,Qualcomm
2586788898,AnimaIsEdited,Animal Edits
488844086,LivingComputers,LivingComputers
2926917823,beebaaahp,Noah
21216057,railstutorial,Rails Tutorial
202963011,ZhouFengSuo, Fengsuo Zhou
10257182,heroku,Heroku
9902092,mhartl,Michael Hartl
232201624,fangshimin,
43654274,aiww,  Ai Weiwei
159588456,NASA_Technology,NASA Technology
34743251,SpaceX,SpaceX
10977372,alexbratton,Alex Bratton
553633577,nickbronn,nick bronn
89018574,MCRofficial,My Chemical Romance
1613714996,USFSCO,U of I USFSCO
27921386,aschirtz,alexa schirtzinger
125490269,ACPAFoundation,ACPA Foundation
16120072,haveittodayray,Ray Lanfear
1638438294,QuipSupport,QuipSupport
274901788,Jimmy_Brungus,Charles Yang
19698551,jzbecker,Jonathan Becker
5803462,AllenH,Allen
41123221,ancker010,Ryan Harden
795541776,MegaBourse,The MegaBourse Game
200517785,jistudents,J. of Intl  Students
260967835,krizkrazsays,Krizia Vance
2208793030,Threeding,Threeding.com
1887969588,SarahcqHuang,Sarah Huang
2768410957,AliceSike,Alice Liang
213105692,SahilPatel1,Sahil Patel
1405944372,MITMillieLiu,Millie Liu
614845563,liuxnn,Chris X
262704969,CSI_ACPA,ACPA CSI
1648672314,jameslloyd608,James Lloyd
137828577,2TheBeats,Aaron Andrus
154954896,carbon_arc,Carbon Arc Cinema
7566122,beausimensen,Beau D. Simensen
148800605,stjohnscollege,St. John's College
282962689,jaezenlim,Jason Lim
180402889,VikaVidyana,Nurvika Vidyana
2377420064,IllinoisGEIE,Illinois GE_IE UG
17471459,mikeyway,Mikey Way
1152639590,MFTM_UIUC,Music for the Masses
87031518,mfenchel,Michael Fenchel
15757719,radicalamy,amy
2388765331,OCLPHK,Occupy Central 
16363771,IllinoisCS,CS @ ILLINOIS
17344075,gerardway,the holiday spice
6844292,TwitterEng,Twitter Engineering
172442947,TwitterU,Twitter U Recruiting
109184306,JoinTheFlock,Join The Flock
19383099,ChuBailiang,Chris Buckley 
13982132,medialab,MIT Media Lab
57682536,TECenter,TEC
636981180,UIUCDaily,Reardon Glaze
195997863,WilderMohn,
95340425,Eduardo3rd,Eduardo Torrealba
304185486,_Snape_,Professor Snape
21181713,liamgallagher,Liam Gallagher
14701449,koomen,Pete Koomen
2156088615,_hamlee,Sam Vanderhoop Lee
108559862,Optimizely,Optimizely
539137645,BoostVC,Boost VC
15707842,darrentkimura,Darren T. Kimura
113130846,ycombinator,Y Combinator
811350,alexisohanian,Alexis Ohanian
14145296,susie_c,Susie Cagle
58572832,acmoffice,ACM@UIUC Office
29548766,eceILLINOIS,ECE ILLINOIS
28040164,acmuiuc,acm@uiuc
49827108,zhangweiguo,ZhangWeiGuo 
620632841,nytchinese,
20778955,voachina,
53932701,FooFightersDave,Dave Grohl
72581909,MarshallAmpsUK,Marshall Amps
15809522,Epiphone,Epiphone
707913,Fender,Fender
20154994,gibsonguitar,Gibson
1272530941,TeamRaspi,Raspberry Pi Team
207507805,BofA_News,Bank of America News
302666251,Raspberry_Pi,Raspberry Pi
23815359,newmuseum,New Museum
305175128,mywebneel,Webneel.com
73986605,ProNetworkBuild,Lonny Dunn
1118451,make,Make:
11900,bre,bre
2218339069,3DForged,3D Forged
48572412,40billion,40Billion
14677012,mpd,MPD
889683415,UIMakerLab,Illinois MakerLab
16843780,thingiverse,Thingiverse
18036441,Stanford,Stanford University
41580964,3dsystemscorp,3D Systems
22021097,makerbot,MakerBot
529192106,3dprintindustry,3D Printing Industry
3754891,bfeld,Brad Feld
761789870,BestofKickstart,Best of Kickstarter 
63722880,Sponsume,Sponsume
16186995,kickstarter,Kickstarter
15859268,zen_habits,Leo Babauta
14749070,Chad_Hurley,Chad Hurley
20,ev,Ev Williams
22343022,maxrnr,Maximum Rocknroll
37850080,MikeDirnt,Mike Dirnt
241264057,BJAofficial,Billie Joe Armstrong
67995848,GreenDay,Green Day
40981798,yelyahwilliams,hayley from Paramore
31331740,XChadballX,Chad Gilbert
52773171,Inzombia,Mimi Thi Nguyen
38700121,ibeannavo,ANNA VO
6826692,AliceBag,Alice Bag
248504634,freefooduiuc,Free Food UIUC
5397942,zuola,
36767299,newfoundglory,New Found Glory
22792140,theataris,The Ataris
524138018,satorayG,Guo Ray
22938914,stevewoz,Steve Wozniak
1636590253,tim_cook,Tim Cook
775925017,pangyixin,pangyixin
1184274092,itsteddyhan,Teddy Han
41553,abduzeedo,Abduzeedo
525966881,BruceDSu,Hejia Bruce Su
74035246,jaredrhall,Jared Hall 
332728742,ZizhengMG,ZizhengMG
1435461,NYTScience,NYT Science
19927627,penguinusa,Penguin Books USA
25093616,MensHealthMag,Men's Health Mag
23864985,HealthHabits,Health Habits
16561884,DailyHealthTips,Ask a Doctor
16896485,Inc,Inc.
11512342,frogdesign,frog design
21661279,CreativeReview,Creative Review
1440641,nytimesarts,New York Times Arts
14885549,ForbesTech,Forbes Tech News
11518842,gadgetlab,WIRED Gadget Lab
50940456,kaifulee,Kai-Fu Lee
816653,TechCrunch,TechCrunch
571202103,Medium,Medium
15492359,TEDTalks,TED Talks
50393960,BillGates,Bill Gates
14327149,RiversCuomo,Rivers Cuomo
196925561,flea333,Flea
18863815,coldplay,Coldplay
14230524,ladygaga,The Countess
354847710,Codecademy,Codecademy
13298072,TeslaMotors,Tesla Motors
44196397,elonmusk,Elon Musk
2557521,espn,ESPN
1426706330,TierraUniversu,TierraUniversu
